rule,arm,k,reliability,n_tokens,n_seeds,n,accuracy_mean,accuracy_std,confidence_mean,confidence_std,ece_mean,ece_std,nll_mean,nll_std,brier_mean,brier_std,entropy_mean,entropy_std,conf_acc_gap_mean,conf_acc_gap_std
late_product,A,1,clean,3,3,1987.0,0.8933064921992955,0.012778201739669202,0.9774079521497091,0.006308535875633652,0.0856799232421796,0.012035099329646972,1.042105237642924,0.053216661450034154,0.19269941250483194,0.021195599667494007,0.053628562639156975,0.008145092901017371,0.08410145995041367,0.01296627414580622
late_product,B,5,clean,7,3,1987.0,0.8362690823687301,0.003883857373860156,0.9925683736801147,0.003111534998041841,0.15927586206912273,0.003776680325275271,3.4372634092966714,0.06653168611154159,0.3219815194606781,0.007564376849282528,0.017129808043440182,0.005732152279615641,0.15629929131138467,0.005082584215659844
late_product,C,1,hard_stuck_trainref,3,3,1987.0,0.7127998657943299,0.04259774967830278,0.9443536003430685,0.013576044535292035,0.23198816787674614,0.04365042859632196,2.458433190981547,0.4126765233986122,0.5142723818620046,0.07413936758390759,0.13201163212458292,0.02477768563039685,0.23155373454873865,0.043961293937892235
late_product,D,5,hard_stuck_trainref,7,3,1987.0,0.16842811608790473,0.004507642624574536,0.9732205271720886,0.0033880671630269325,0.8047924243129954,0.00559438816146125,20.905859629313152,0.4302179414144636,1.6249568462371826,0.01048486760432307,0.06750653311610222,0.008617138203290506,0.8047924110841839,0.005594376294670443
late_product,E,0,dropped,2,3,1987.0,0.8414695520885758,0.013585217138753788,0.9635995427767435,0.009240612571591414,0.12387286108865213,0.007364328356631502,0.6830660700798035,0.03548075687511318,0.26989756027857464,0.01348992248566853,0.09501883387565613,0.01800605829967077,0.12212999068816784,0.00761875080790583
cpsa,A,1,clean,3,3,1987.0,0.8349270256668344,0.040620777572250806,0.792454183101654,0.008210526841511658,0.08304036637017279,0.02136728321573624,0.49009530742963153,0.026211267430402252,0.24258185923099518,0.02575487996488384,0.5018738210201263,0.009005787636531749,-0.04247284256518036,0.0345621229633292
cpsa,B,5,clean,7,3,1987.0,0.7686629760107365,0.009595940040983093,0.8733510573705038,0.0037461910633111934,0.14760201747956203,0.015448715806805895,0.8041283090909322,0.047206141673881596,0.38868271311124164,0.00708837986521129,0.3430774708588918,0.008474120678767454,0.1046880813597673,0.010793608584896742
cpsa,C,1,hard_stuck_trainref,3,3,1987.0,0.6909914443885254,0.04219282522257123,0.7181907494862875,0.011702315812942335,0.1585249334793726,0.040231967041774494,0.804409404595693,0.11757195698838924,0.40931905309359234,0.06178876029673589,0.7024224797884623,0.022294405873401566,0.027199305097762028,0.04051971758277247
cpsa,D,5,hard_stuck_trainref,7,3,1987.0,0.09159536990437846,0.0,0.8769728342692057,0.04633973110306874,0.7853774697443439,0.04633972559538671,2.6213377316792807,0.5390679502036958,1.4514416456222534,0.14318134368509494,0.42415600021680194,0.10650751001981493,0.7853774643648274,0.046339731103068736
cpsa,E,0,dropped,2,3,1987.0,0.7592685790974669,0.06975992469690247,0.8072155714035034,0.004526525872323581,0.11193400004469616,0.018987764727239894,0.566829651594162,0.0780522677192461,0.3023783365885417,0.06046655187247296,0.44232454895973206,0.00318745144902789,0.04794699230603653,0.07192174672636438
