seed,source,k,operator,subject,n,accuracy,macro_f1,nll,brier,confidence,mean_l1_to_k1,prediction_flip_rate
0,M1,1,late_product,2,324,0.95061728395061729,0.69365895542366118,0.1342131495475769,0.075585350394248962,0.96417123079299927,0,0
0,M1,1,late_product,4,336,0.95238095238095233,0.83866510012731288,0.11248835176229477,0.068048112094402313,0.9606708288192749,0,0
0,M1,1,late_product,9,311,0.85209003215434087,0.62691378608530313,0.41233652830123901,0.22155848145484924,0.94492167234420776,0,0
0,M1,1,late_product,10,306,0.83333333333333337,0.7194689841138584,0.58652710914611816,0.27550491690635681,0.94470304250717163,0,0
0,M1,1,late_product,12,340,0.94705882352941173,0.72976692117959929,0.16856531798839569,0.081951826810836792,0.96393036842346191,0,0
0,M1,1,late_product,13,348,0.97701149425287359,0.89847783500140788,0.11327783018350601,0.039937965571880341,0.98315876722335815,0,0
0,M1,1,late_product,18,403,0.92307692307692313,0.78972579835152923,0.29892626404762268,0.12290191650390625,0.96669113636016846,0,0
0,M1,1,late_product,20,384,0.92708333333333337,0.6852981157028073,0.19474942982196808,0.10527177900075912,0.95730233192443848,0,0
0,M1,1,late_product,24,410,0.96829268292682924,0.87393061419450635,0.1757701188325882,0.050865348428487778,0.97929024696350098,0,0
0,M1,2,late_product,2,324,0.89814814814814814,0.66117031766724488,0.28915512561798096,0.15377210080623627,0.97229689359664917,0.086528122425079346,0.052469135802469133
0,M1,2,late_product,4,336,0.94345238095238093,0.83402288850106665,0.13152869045734406,0.07920798659324646,0.96885979175567627,0.058322027325630188,0.03273809523809524
0,M1,2,late_product,9,311,0.82315112540192925,0.67803881643686348,0.73225456476211548,0.29375395178794861,0.95313030481338501,0.13973225653171539,0.064308681672025719
0,M1,2,late_product,10,306,0.76797385620915037,0.59621231267513763,1.339408278465271,0.40767493844032288,0.96445417404174805,0.13143341243267059,0.06535947712418301
0,M1,2,late_product,12,340,0.93235294117647061,0.72214497524175902,0.22878561913967133,0.09988895058631897,0.97397351264953613,0.055928096175193787,0.026470588235294117
0,M1,2,late_product,13,348,0.97701149425287359,0.89841129762012051,0.17585372924804688,0.045104730874300003,0.98776400089263916,0.031573235988616943,0.0057471264367816091
0,M1,2,late_product,18,403,0.91315136476426795,0.78345454136162418,0.51010698080062866,0.14897924661636353,0.97981721162796021,0.053374327719211578,0.01488833746898263
0,M1,2,late_product,20,384,0.91666666666666663,0.74296406528234238,0.27933838963508606,0.13382439315319061,0.96967864036560059,0.062116276472806931,0.028645833333333332
0,M1,2,late_product,24,410,0.97073170731707314,0.8119612962647339,0.2580321729183197,0.051257960498332977,0.99017447233200073,0.032778743654489517,0.014634146341463415
0,M1,3,late_product,2,324,0.87654320987654322,0.65277272366564298,0.51122254133224487,0.21071116626262665,0.98683786392211914,0.12824073433876038,0.07716049382716049
0,M1,3,late_product,4,336,0.9285714285714286,0.81968930087602132,0.20483048260211945,0.1086261123418808,0.97940099239349365,0.095859572291374207,0.047619047619047616
0,M1,3,late_product,9,311,0.79421221864951763,0.66047891739400832,1.2298843860626221,0.35576868057250977,0.96308392286300659,0.22520166635513306,0.10610932475884244
0,M1,3,late_product,10,306,0.72875816993464049,0.56715337884203165,2.2066729068756104,0.48253348469734192,0.97544568777084351,0.20234191417694092,0.11437908496732026
0,M1,3,late_product,12,340,0.93235294117647061,0.71433007917819591,0.32938450574874878,0.11700643599033356,0.9815250039100647,0.085860066115856171,0.035294117647058823
0,M1,3,late_product,13,348,0.96264367816091956,0.858777159039528,0.25382378697395325,0.056808549910783768,0.98914057016372681,0.051818728446960449,0.020114942528735632
0,M1,3,late_product,18,403,0.90570719602977667,0.77876163854886249,0.74320769309997559,0.16757014393806458,0.98335999250411987,0.075741328299045563,0.024813895781637719
0,M1,3,late_product,20,384,0.90104166666666663,0.71954212985387878,0.41206416487693787,0.1594804972410202,0.97515469789505005,0.095829494297504425,0.044270833333333336
0,M1,3,late_product,24,410,0.96829268292682924,0.78744338992864582,0.30938932299613953,0.057375755161046982,0.99498903751373291,0.043835993856191635,0.017073170731707318
0,M1,5,late_product,2,324,0.87345679012345678,0.65022017627651418,1.0071009397506714,0.24190905690193176,0.99425047636032104,0.15060330927371979,0.080246913580246909
0,M1,5,late_product,4,336,0.92261904761904767,0.80894873052195704,0.41698837280273438,0.13544467091560364,0.98463946580886841,0.12729606032371521,0.053571428571428568
0,M1,5,late_product,9,311,0.77491961414791,0.64754056552647521,2.2518608570098877,0.41897416114807129,0.98201709985733032,0.29355776309967041,0.14469453376205788
0,M1,5,late_product,10,306,0.71895424836601307,0.56211819358291149,3.88973069190979,0.5411841869354248,0.98528295755386353,0.25216054916381836,0.12418300653594772
0,M1,5,late_product,12,340,0.92647058823529416,0.66324971364063179,0.56593078374862671,0.13306193053722382,0.98990821838378906,0.11031649261713028,0.047058823529411764
0,M1,5,late_product,13,348,0.95402298850574707,0.84916692104192093,0.36701247096061707,0.081741116940975189,0.99347412586212158,0.078025065362453461,0.031609195402298854
0,M1,5,late_product,18,403,0.89330024813895781,0.77124439784406829,1.0942591428756714,0.19183196127414703,0.9896165132522583,0.096459798514842987,0.037220843672456573
