seed,source,k,attn_mean,attn_median,attn_p10,attn_p90,attn_min,attn_max,mean_l1_to_pj
0,M1,1,0.59200090169906616,0.55925929546356201,0.46829956769943237,0.80209630727767944,0.13707354664802551,0.92733585834503174,0.23370814323425293
0,M1,2,0.73583412170410156,0.71770477294921875,0.6432526707649231,0.89070719480514526,0.23462843894958496,0.96507960557937622,0.14991141855716705
0,M1,3,0.80380547046661377,0.7928004264831543,0.73248946666717529,0.92448616027832031,0.3157753050327301,0.97743046283721924,0.11138193309307098
0,M1,5,0.87004715204238892,0.86456406116485596,0.82112252712249756,0.95346546173095703,0.43568775057792664,0.98690563440322876,0.074090100824832916
0,M1,8,0.91355651617050171,0.91069608926773071,0.88093513250350952,0.97044754028320312,0.55325227975845337,0.99195694923400879,0.049554180353879929
0,M1,16,0.95424747467041016,0.95324784517288208,0.93758445978164673,0.98497980833053589,0.71286076307296753,0.99603748321533203,0.026426728814840317
0,M1,32,0.97641289234161377,0.97605490684509277,0.96784335374832153,0.99242329597473145,0.83276110887527466,0.99803513288497925,0.013696782290935516
0,M1,64,0.98801678419113159,0.98788648843765259,0.98365950584411621,0.9961930513381958,0.90895378589630127,0.99902194738388062,0.0069807348772883415
0,M1,100,0.99228572845458984,0.99221181869506836,0.98947989940643311,0.99755829572677612,0.93980693817138672,0.99937468767166138,0.0044995388016104698
0,M2,1,0.40799909830093384,0.44074070453643799,0.1979035884141922,0.53170043230056763,0.072664067149162292,0.8629264235496521,0.41016435623168945
0,M2,2,0.56800824403762817,0.61439943313598633,0.33844083547592163,0.69910973310470581,0.146031454205513,0.9251406192779541,0.31145340204238892
0,M2,3,0.65716278553009033,0.70561468601226807,0.43500694632530212,0.78110730648040771,0.21133714914321899,0.94824403524398804,0.25332921743392944
0,M2,5,0.75530546903610229,0.80145704746246338,0.56459534168243408,0.85587102174758911,0.31879818439483643,0.96771860122680664,0.18624392151832581
0,M2,8,0.82766473293304443,0.86632150411605835,0.67859435081481934,0.90601396560668945,0.43442514538764954,0.97932934761047363,0.13433033227920532
