seed,source,k,operator,n_tokens,accuracy,macro_f1,balanced_accuracy,ece,nll,brier,confidence,conf_acc_gap,entropy,d_accuracy,d_macro_f1,d_balanced_accuracy,d_ece,d_nll,d_brier,d_confidence,d_entropy,mean_l1_to_k1,prediction_flip_rate,mean_l1_to_pj,source_top_class_agreement,unique_source_argmax_frac,n
0,M1,1,late_product,2,0.92820999367488932,0.7939602176814633,0.78710423834215115,0.038497478175133146,0.23815459012985229,0.11168047785758972,0.96353316307067871,0.035323169395789389,0.090190939605236053,0,0,0,0,0,0,0,0,0,0,0.18008130788803101,0.91208096141682482,1,3162
0,M1,2,late_product,3,0.90891840607210628,0.77674303163485392,0.77933464643415418,0.065353236748476998,0.4215959906578064,0.1501087099313736,0.97412866353988647,0.065210257467780197,0.061506923288106918,-0.019291587602783045,-0.017217186046609378,-0.0077695919079969755,0.026855758573343852,0.1834414005279541,0.038428232073783875,0.010595500469207764,-0.028684016317129135,0.069611482322216034,0.032258064516129031,0.14095629751682281,0.94402277039848193,1,3162
0,M1,3,late_product,4,0.89373814041745736,0.75348742493488796,0.76291081834956298,0.087747635587267642,0.65689796209335327,0.18182006478309631,0.98148578405380249,0.08774764363634513,0.044207755476236343,-0.034471853257431961,-0.040472792746575337,-0.024193419992588172,0.049250157412134496,0.41874337196350098,0.070139586925506592,0.017952620983123779,-0.04598318412899971,0.1069682314991951,0.051233396584440226,0.12547841668128967,0.96299810246679318,1,3162
0,M1,5,late_product,6,0.88519924098671732,0.73095002670290354,0.74945387640562544,0.10441369087842355,1.1274058818817139,0.21223197877407074,0.98870599269866943,0.10350675171195212,0.027069425210356712,-0.043010752688172005,-0.063010190978559755,-0.037650361936525711,0.0659162127032904,0.88925129175186157,0.10055150091648102,0.025172829627990723,-0.063121514394879341,0.13785137236118317,0.062934851359898791,0.1215929388999939,0.97469955724225177,1,3162
0,M1,8,late_product,9,0.87982289690069582,0.72540220651832354,0.74402726531284846,0.11415060392329396,1.6737382411956787,0.23054711520671844,0.99266511201858521,0.11284221511788939,0.017505703493952751,-0.048387096774193505,-0.068558011163139754,-0.04307697302930269,0.075653125748160813,1.4355836510658264,0.11886663734912872,0.029131948947906494,-0.072685236111283302,0.15612025558948517,0.070841239721695135,0.12247269600629807,0.98292220113851991,1,3162
0,M1,16,late_product,17,0.87128399746995577,0.72451512154909103,0.74540862804220831,0.1247255285656354,2.5036540031433105,0.24917875230312347,0.99600940942764282,0.12472541195768705,0.0093512805178761482,-0.056925996204933549,-0.069445096132372264,-0.041695610299942842,0.086228050390502256,2.2654994130134583,0.13749827444553375,0.032476246356964111,-0.080839659087359905,0.17490629851818085,0.081593927893738136,0.12444963306188583,0.99367488931056291,1,3162
0,M1,32,late_product,33,0.87128399746995577,0.72754992708442134,0.75202021050777301,0.12743835323675762,3.0346629619598389,0.25586938858032227,0.99826443195343018,0.1269804344834744,0.0043663876131176949,-0.056925996204933549,-0.066410290597041954,-0.03508402783437814,0.088940875061624472,2.7965083718299866,0.14418891072273254,0.034731268882751465,-0.085824551992118359,0.18255044519901276,0.083807716635041107,0.1283949613571167,0.99588867805186587,1,3162
0,M1,64,late_product,65,0.87033523086654019,0.72704546994559227,0.75150787571868649,0.12928964862108686,3.3537163734436035,0.25853633880615234,0.99903547763824463,0.12870024677170444,0.0023758215829730034,-0.057874762808349134,-0.066914747735871027,-0.035596362623464661,0.09079217044595371,3.1155617833137512,0.14685586094856262,0.035502314567565918,-0.08781511802226305,0.18668054044246674,0.085388994307400379,0.12971873581409454,0.99746995572422514,1,3162
0,M1,100,late_product,101,0.87001897533206829,0.73263984753039013,0.75421895425248264,0.12987497164281694,3.4604012966156006,0.25958177447319031,0.99939060211181641,0.12937162677974812,0.0015873803058639169,-0.058191018342821033,-0.061320370151073167,-0.032885284089668509,0.091377493467683799,3.2222467064857483,0.14790129661560059,0.035857439041137695,-0.088603559299372137,0.18803133070468903,0.086337760910815936,0.13038794696331024,0.99841872232764073,1,3162
0,M2,1,late_product,2,0.92820999367488932,0.7939602176814633,0.78710423834215115,0.038497478175133146,0.23815459012985229,0.11168047785758972,0.96353316307067871,0.035323169395789389,0.090190939605236053,0,0,0,0,0,0,0,0,0,0,0.5384286642074585,0.78494623655913975,1,3162
0,M2,2,late_product,3,0.92757748260594564,0.79469822665405943,0.78241201463468169,0.045417255159422729,0.31288155913352966,0.11557237803936005,0.97289222478866577,0.045314742182720136,0.066591858863830566,-0.00063251106894368636,0.00073800897259612697,-0.0046922237074694673,0.0069197769842895829,0.074726969003677368,0.0038919001817703247,0.0093590617179870605,-0.023599080741405487,0.066869869828224182,0.028146742567994938,0.50943422317504883,0.80803289057558503,1,3162
0,M2,3,late_product,4,0.91461100569259957,0.78075126928839411,0.76587887081860284,0.061498680865365044,0.46431884169578552,0.14232537150382996,0.97610974311828613,0.061498737425686567,0.058148663491010666,-0.013598987982289756,-0.013208948393069186,-0.021225367523548311,0.023001202690231898,0.22616425156593323,0.030644893646240234,0.012576580047607422,-0.032042276114225388,0.11673452705144882,0.051233396584440226,0.48252251744270325,0.82985452245414293,1,3162
0,M2,5,late_product,6,0.88709677419354838,0.75836065841906652,0.7439173286655012,0.093097561931474393,0.88402724266052246,0.19794166088104248,0.9801943302154541,0.093097556021905725,0.047207634896039963,-0.041113219481340946,-0.035599559262396774,-0.043186909676649954,0.054600083756341247,0.64587265253067017,0.086261183023452759,0.016661167144775391,-0.042983304709196091,0.18673551082611084,0.086654016445287793,0.44261437654495239,0.864326375711575,1,3162
0,M2,8,late_product,9,0.8589500316255535,0.72957811458914679,0.71169915239904757,0.12714446776656693,1.5881822109222412,0.25843656063079834,0.98609453439712524,0.12714450277157174,0.034035671502351761,-0.069259962049335821,-0.064382103092316512,-0.075405085943103578,0.088646989591433786,1.3500276207923889,0.14675608277320862,0.022561371326446533,-0.056155268102884293,0.25031417608261108,0.11859582542694497,0.41263920068740845,0.89848197343453506,1,3162
0,M2,16,late_product,17,0.82890575585072734,0.71124688776435885,0.69451220940104397,0.16148172653528203,2.9413599967956543,0.32982289791107178,0.99038755893707275,0.16148180308634541,0.023481300100684166,-0.099304237824161978,-0.08271332991710445,-0.092592028941107185,0.12298424836014889,2.703205406665802,0.21814242005348206,0.026854395866394043,-0.066709639504551888,0.32389816641807556,0.15211891208096143,0.38972571492195129,0.93200506008855155,1,3162
0,M2,32,late_product,33,0.80139152435167615,0.69666186200579849,0.68046858543577515,0.19350951813882397,4.2944340705871582,0.39041063189506531,0.99490118026733398,0.19350965591565783,0.012296007946133614,-0.12681846932321317,-0.097298355675664805,-0.106635652906376,0.15501203996369084,4.0562794804573059,0.27873015403747559,0.031368017196655273,-0.07789493165910244,0.38504266738891602,0.18374446552814674,0.38041380047798157,0.96616065781151172,1,3162
0,M2,64,late_product,65,0.78874130297280198,0.68788583680822024,0.67244001378009921,0.21000646151823757,5.2670979499816895,0.42009535431861877,0.99747127294540405,0.20872996997260207,0.0062530417926609516,-0.13946869070208734,-0.10607438087324306,-0.11466422456205194,0.17150898334310444,5.0289433598518372,0.30841487646102905,0.033938109874725342,-0.083937897812575102,0.41417962312698364,0.19797596457938013,0.380869060754776,0.98134092346616064,1,3162
0,M2,100,late_product,101,0.78336495888678048,0.67802819993501584,0.66310417651199638,0.21522786644046474,5.6351561546325684,0.43132713437080383,0.99797922372817993,0.21461426484139945,0.0045187412761151791,-0.14484503478810884,-0.11593201774644746,-0.12400006183015477,0.17673038826533161,5.3970015645027161,0.31964665651321411,0.034446060657501221,-0.085672198329120874,0.42614567279815674,0.20398481973434535,0.38117751479148865,0.98734977862112583,1,3162
0,M1,1,late_mean,2,0.90891840607210628,0.77974783140445458,0.77838894414263526,0.1074948363727139,0.33108603954315186,0.17130985856056213,0.80180984735488892,-0.10710855871721736,0.47674989700317383,0,0,0,0,0,0,0,0,0,0,0.32193624973297119,0.92979127134724859,1,3162
0,M1,2,late_mean,3,0.88456672991777352,0.73556291845803756,0.75193887857888742,0.084841828993571677,0.30385875701904297,0.15873569250106812,0.84204906225204468,-0.042517667665728842,0.41789659857749939,-0.024351676154332758,-0.044184912946417021,-0.026450065563747849,-0.02265300737914222,-0.027227282524108887,-0.012574166059494019,0.040239214897155762,-0.058853298425674438,0.10731208324432373,0.045540796963946868,0.21462416648864746,0.97533206831119545,1,3162
0,M1,3,late_mean,4,0.87760910815939275,0.72582756432614737,0.74526437387317712,0.067335305562281733,0.29707661271095276,0.15983961522579193,0.86431169509887695,-0.013297413060515795,0.37665379047393799,-0.03130929791271353,-0.053920267078307216,-0.033124570269458142,-0.040159530810432165,-0.034009426832199097,-0.011470243334770203,0.062501847743988037,-0.10009610652923584,0.1609681248664856,0.054395951929158762,0.1609681248664856,0.98418722327640729,1,3162
0,M1,5,late_mean,6,0.87254901960784315,0.72317579480615946,0.74257335705457217,0.056552211566110136,0.29642361402511597,0.16587089002132416,0.88727074861526489,0.014721729007421747,0.32550176978111267,-0.036369386464263131,-0.056572036598295128,-0.035815587088063094,-0.050942624806603762,-0.034662425518035889,-0.0054389685392379761,0.085460901260375977,-0.15124812722206116,0.21462416648864746,0.060088551549652119,0.10731208324432373,0.98987982289690069,1,3162
0,M1,8,late_mean,9,0.87065148640101198,0.72161122151671842,0.7426275328546641,0.04952284470341918,0.30121386051177979,0.17262916266918182,0.90277409553527832,0.032122609134266344,0.28421479463577271,-0.038266919671094302,-0.058136609887736168,-0.035761411287971168,-0.057971991669294717,-0.02987217903137207,0.0013193041086196899,0.1009642481803894,-0.19253510236740112,0.25039485096931458,0.063567362428842505,0.071541383862495422,0.99335863377609113,1,3162
0,M1,16,late_mean,17,0.8697027197975965,0.72502042625319429,0.74797612968694027,0.049636278233145134,0.31299880146980286,0.18099035322666168,0.9175034761428833,0.047800756345286799,0.23770135641098022,-0.039215686274509776,-0.054727405151260289,-0.030412814455694992,-0.057858558139568764,-0.018087238073348999,0.0096804946660995483,0.11569362878799438,-0.2390485405921936,0.28406140208244324,0.067678684376976592,0.037874858826398849,0.99746995572422514,1,3162
0,M1,32,late_mean,33,0.87001897533206829,0.72685595242252132,0.75130946302027368,0.057896948186827918,0.32612505555152893,0.18636862933635712,0.92559152841567993,0.055572553083611642,0.20733706653118134,-0.038899430740037988,-0.05289187898193326,-0.027079481122361582,-0.04959788818588598,-0.0049609839916229248,0.015058770775794983,0.12378168106079102,-0.26941283047199249,0.30242496728897095,0.067994939911448449,0.019511314108967781,0.99778621125869704,1,3162
0,M1,64,late_mean,65,0.8693864642631246,0.73231776395644665,0.7538676363552933,0.064047467531394869,0.33810099959373474,0.18941180408000946,0.92983019351959229,0.060443729256467682,0.18893858790397644,-0.039531941808981674,-0.047430067448007929,-0.024521307787341962,-0.043447368841319028,0.0070149600505828857,0.018101945519447327,0.12802034616470337,-0.28781130909919739,0.31203052401542664,0.069259962049335863,0.009905708022415638,0.99905123339658441,1,3162
0,M1,100,late_mean,101,0.86875395319418092,0.73196831953421138,0.75350518166212987,0.065626850616773549,0.34476259350776672,0.19057007133960724,0.93139195442199707,0.062638001227816154,0.1814160943031311,-0.040164452877925361,-0.047779511870243208,-0.024883762480505389,-0.041867985755940348,0.013676553964614868,0.019260212779045105,0.12958210706710815,-0.29533380270004272,0.31556129455566406,0.069892473118279563,0.0063749756664037704,0.9996837444655281,1,3162
0,M2,1,late_mean,2,0.90891840607210628,0.77974783140445458,0.77838894414263526,0.1074948363727139,0.33108603954315186,0.17130985856056213,0.80180984735488892,-0.10710855871721736,0.47674989700317383,0,0,0,0,0,0,0,0,0,0,0.32193624973297119,0.77767235926628719,1,3162
0,M2,2,late_mean,3,0.8583175205566097,0.75205417957507714,0.73669250259549068,0.075956266050584545,0.37606137990951538,0.20359335839748383,0.78722614049911499,-0.071091380057494713,0.50802803039550781,-0.050600885515496574,-0.027693651829377441,-0.04169644154714458,-0.031538570322129353,0.044975340366363525,0.032283499836921692,-0.014583706855773926,0.031278133392333984,0.10731208324432373,0.11543327008222644,0.21462418138980865,0.89057558507273882,1,3162
