dataset,source_id,operator,clean_source_accuracy,clean_source_nll,clean_source_ece,k5_mean_l1_to_k1,k5_flip,k5_d_accuracy,k5_d_nll,k5_d_ece,k100_mean_l1_to_k1,k100_flip,k100_source_top_agreement,cpsa_Aj_5,cpsa_Aj_100,late_mean_law_max_residual,unique_source_argmax_frac
MHEALTH,MHEALTH_chest_acc,late_product,0.7481966113068278,1.4162931442260742,0.18421783045901685,0.17829852799574533,0.089246770676061071,-0.057037409830565343,2.3951581716537476,0.073595938826943139,0.31565121809641522,0.15819493373595037,0.98540513336688473,,,,1
MHEALTH,MHEALTH_chest_acc,late_mean,0.7481966113068278,1.4162931442260742,0.18421783045901685,0.27029355367024738,0.11407481966113069,-0.09780238215064592,0.10869661966959636,-0.038559325308112624,0.45910148819287616,0.14041268243583291,0.99681261533299781,,,2.384185791015625e-07,1
MHEALTH,MHEALTH_chest_acc,cpsa,0.7481966113068278,1.4162931442260742,0.18421783045901685,0.36235767602920532,0.15702063412179165,-0.066264049656097959,0.31403300166130066,0.064561651109389231,0.44774777690569562,0.17681597047475253,0.99832242912263036,0.79046479860941565,0.98877356449762976,,1
MHEALTH,MHEALTH_ankle,late_product,0.70072135547726899,2.4809598128000894,0.23286269935380088,0.42353976766268414,0.21472907230330482,-0.1481295084717329,4.0797603527704878,0.16360476965513071,0.59470691283543908,0.30045294413688978,0.99597382989431305,,,,1
MHEALTH,MHEALTH_ankle,late_mean,0.70072135547726899,2.4809598128000894,0.23286269935380088,0.31810326377550763,0.27596040932729404,-0.16809260191243083,0.11986887454986572,0.013888351355517312,0.54030770063400269,0.28283844992450935,0.99966448582452605,,,2.384185791015625e-07,1
MHEALTH,MHEALTH_ankle,cpsa,0.70072135547726899,2.4809598128000894,0.23286269935380088,0.46103932460149127,0.27948330816977018,-0.13118604261030023,0.38247278332710266,0.096287623595279495,0.5648937622706095,0.2843482637141419,0.99966448582452605,0.79433852434158325,0.98930174112319946,,1
MHEALTH,MHEALTH_arm,late_product,0.76664989095789304,1.180904467900594,0.15350078266052128,0.21946702897548676,0.10702902197617849,-0.044120114074819639,1.4333590269088745,0.052679463308582621,0.49176748593648273,0.24157020634121792,0.98859251803388692,,,,1
MHEALTH,MHEALTH_arm,late_mean,0.76664989095789304,1.180904467900594,0.15350078266052128,0.32126255830128986,0.24526086227143096,-0.087065928535480674,0.020806471506754558,-0.0072866614343655807,0.54567392667134607,0.27797349438013758,0.9993289716490521,,,2.384185791015625e-07,1
MHEALTH,MHEALTH_arm,cpsa,0.76664989095789304,1.180904467900594,0.15350078266052128,0.43712097406387329,0.24593189062237877,-0.059889280322093584,0.1523392895857493,0.036994369682740127,0.53482369581858313,0.26270759939607446,0.99949672873678919,0.79991285006205237,0.98954510688781738,,1
HAPT,HAPT_acc_family,late_product,0.86727809403331213,0.39374510447184247,0.065260332188487161,0.14096848666667938,0.065570314147164244,-0.041534893527303364,0.92652681469917297,0.06711674221653284,0.1955138792594274,0.090238245835968803,0.99862955935062203,,,,1
HAPT,HAPT_acc_family,late_mean,0.86727809403331213,0.39374510447184247,0.065260332188487161,0.21750838061173758,0.064621547543748672,-0.037739827113641135,-0.031647632519404091,-0.05953977549350039,0.31980194648106891,0.074847143158338597,0.9996837444655281,,,1.4901161193847656e-07,1
HAPT,HAPT_acc_family,cpsa,0.86727809403331213,0.39374510447184247,0.065260332188487161,0.15667198101679483,0.059456040480708412,-0.019291587602783083,0.0051524639129638672,-0.011544436177082932,0.23005271951357523,0.080118068732869488,0.99936748893105631,0.86714110771814978,0.99192541837692261,,1
HAPT,HAPT_gyro_family,late_product,0.76944971537001905,0.63006605704625451,0.041751188739125748,0.20115382969379425,0.09139784946236558,-0.044908285895003175,0.67119043072064721,0.062022905356140523,0.42996566494305927,0.20409023824583597,0.98872021927050391,,,,1
HAPT,HAPT_gyro_family,late_mean,0.76944971537001905,0.63006605704625451,0.041751188739125748,0.21750838061173758,0.18237402487876872,-0.10647269660552394,0.11537561813990276,-0.083940660461214775,0.31980193654696148,0.21916508538899429,0.99757537423571574,,,1.1920928955078125e-07,1
HAPT,HAPT_gyro_family,cpsa,0.76944971537001905,0.63006605704625451,0.041751188739125748,0.21401938796043396,0.092557453088762398,-0.030887623866751035,0.085907916227976486,0.012996752007510772,0.39909394582112628,0.20567151591819524,0.99051233396584448,0.74523180723190308,0.97969657182693481,,1
