split,dataset,seed,source,operator,k,ordering,n,max_linf,mean_abs,pred_changes
k1,HAPT,1,,cpsa,1,"[1, 0]",3162,0.0,0.0,0
k1,HAPT,2,,late_product,1,"[1, 0]",3162,0.0,0.0,0
k1,HAPT,2,,late_mean,1,"[1, 0]",3162,0.0,0.0,0
k1,HAPT,2,,cpsa,1,"[1, 0]",3162,0.0,0.0,0
grid,MHEALTH,0,M1,late_product,1,reverse,1987,6.556510925292969e-07,1.1066953338722897e-09,0
grid,MHEALTH,0,M1,late_product,1,shuffle_B,1987,6.556510925292969e-07,1.1066953338722897e-09,0
grid,MHEALTH,0,M1,late_mean,1,reverse,1987,1.1920928955078125e-07,2.049471825279337e-09,0
grid,MHEALTH,0,M1,late_mean,1,shuffle_B,1987,1.1920928955078125e-07,2.049471825279337e-09,0
grid,MHEALTH,0,M1,cpsa,1,reverse,1987,1.7881393432617188e-07,3.050909871037692e-09,0
grid,MHEALTH,0,M1,cpsa,1,shuffle_B,1987,1.7881393432617188e-07,3.050909871037692e-09,0
grid,MHEALTH,0,M1,late_product,2,reverse,1987,4.917383193969727e-07,1.2225338453132833e-09,0
grid,MHEALTH,0,M1,late_product,2,shuffle_A,1987,4.76837158203125e-07,6.480839922399333e-10,0
grid,MHEALTH,0,M1,late_product,2,shuffle_B,1987,4.917383193969727e-07,1.2225338453132833e-09,0
grid,MHEALTH,0,M1,late_mean,2,reverse,1987,1.1920928955078125e-07,2.086078522616011e-09,0
grid,MHEALTH,0,M1,late_mean,2,shuffle_A,1987,1.1920928955078125e-07,8.574057714487991e-10,0
grid,MHEALTH,0,M1,late_mean,2,shuffle_B,1987,1.1920928955078125e-07,2.086078522616011e-09,0
grid,MHEALTH,0,M1,cpsa,2,reverse,1987,2.384185791015625e-07,3.6084414839474796e-09,0
grid,MHEALTH,0,M1,cpsa,2,shuffle_A,1987,1.7881393432617188e-07,1.965064601057168e-09,0
grid,MHEALTH,0,M1,cpsa,2,shuffle_B,1987,2.384185791015625e-07,3.6084414839474796e-09,0
grid,MHEALTH,0,M1,late_product,3,reverse,1987,1.6093254089355469e-06,1.2402222924413472e-09,0
grid,MHEALTH,0,M1,late_product,3,shuffle_A,1987,1.6093254089355469e-06,1.1623952987178802e-09,0
grid,MHEALTH,0,M1,late_product,3,shuffle_B,1987,7.748603820800781e-07,1.011214631114643e-09,0
grid,MHEALTH,0,M1,late_mean,3,reverse,1987,1.1920928955078125e-07,3.1130744889879423e-09,0
grid,MHEALTH,0,M1,late_mean,3,shuffle_A,1987,5.960464477539063e-08,1.8973696040738785e-09,0
grid,MHEALTH,0,M1,late_mean,3,shuffle_B,1987,1.1920928955078125e-07,1.933054337171648e-09,0
grid,MHEALTH,0,M1,cpsa,3,reverse,1987,2.384185791015625e-07,4.036939853705574e-09,0
grid,MHEALTH,0,M1,cpsa,3,shuffle_A,1987,2.384185791015625e-07,4.731887031258496e-09,0
grid,MHEALTH,0,M1,cpsa,3,shuffle_B,1987,2.384185791015625e-07,4.186203887938581e-09,0
grid,MHEALTH,0,M1,late_product,5,reverse,1987,1.3709068298339844e-06,1.2409327474322962e-09,0
grid,MHEALTH,0,M1,late_product,5,shuffle_A,1987,8.940696716308594e-07,9.086173847223508e-10,0
grid,MHEALTH,0,M1,late_product,5,shuffle_B,1987,8.940696716308594e-07,9.93168526165517e-10,0
grid,MHEALTH,0,M1,late_mean,5,reverse,1987,1.1920928955078125e-07,3.777816303456398e-09,0
grid,MHEALTH,0,M1,late_mean,5,shuffle_A,1987,5.960464477539063e-08,1.8751739749862844e-09,0
grid,MHEALTH,0,M1,late_mean,5,shuffle_B,1987,1.1920928955078125e-07,2.669489632323841e-09,0
grid,MHEALTH,0,M1,cpsa,5,reverse,1987,2.980232238769531e-07,3.2356494554880893e-09,0
grid,MHEALTH,0,M1,cpsa,5,shuffle_A,1987,2.980232238769531e-07,3.5538767294266925e-09,0
grid,MHEALTH,0,M1,cpsa,5,shuffle_B,1987,2.980232238769531e-07,3.0492104454013194e-09,0
grid,MHEALTH,0,M1,late_product,8,reverse,1987,3.427267074584961e-06,2.466842446615253e-09,0
grid,MHEALTH,0,M1,late_product,8,shuffle_A,1987,1.8477439880371094e-06,1.6198221626323606e-09,0
grid,MHEALTH,0,M1,late_product,8,shuffle_B,1987,1.6987323760986328e-06,1.1651791783281794e-09,0
grid,MHEALTH,0,M1,late_mean,8,reverse,1987,1.7881393432617188e-07,3.4062787648214553e-09,0
grid,MHEALTH,0,M1,late_mean,8,shuffle_A,1987,1.7881393432617188e-07,3.1697418881030567e-09,0
grid,MHEALTH,0,M1,late_mean,8,shuffle_B,1987,1.1920928955078125e-07,2.1057852589515296e-09,0
grid,MHEALTH,0,M1,cpsa,8,reverse,1987,2.980232238769531e-07,2.7843779799410906e-09,0
grid,MHEALTH,0,M1,cpsa,8,shuffle_A,1987,2.384185791015625e-07,4.276163474063515e-09,0
grid,MHEALTH,0,M1,cpsa,8,shuffle_B,1987,2.980232238769531e-07,3.899771759478693e-09,0
grid,MHEALTH,0,M1,late_product,16,reverse,1987,3.874301910400391e-06,1.9246751048148795e-09,0
grid,MHEALTH,0,M1,late_product,16,shuffle_A,1987,2.9206275939941406e-06,1.2391680068750514e-09,0
grid,MHEALTH,0,M1,late_product,16,shuffle_B,1987,2.9206275939941406e-06,1.7108202572954538e-09,0
grid,MHEALTH,0,M1,late_mean,16,reverse,1987,1.7881393432617188e-07,3.761573060060897e-09,0
grid,MHEALTH,0,M1,late_mean,16,shuffle_A,1987,1.7881393432617188e-07,3.555284243083272e-09,0
grid,MHEALTH,0,M1,late_mean,16,shuffle_B,1987,1.7881393432617188e-07,3.750657652607514e-09,0
grid,MHEALTH,0,M1,cpsa,16,reverse,1987,2.384185791015625e-07,2.3006879454747505e-09,0
grid,MHEALTH,0,M1,cpsa,16,shuffle_A,1987,2.384185791015625e-07,3.0315423833428816e-09,0
grid,MHEALTH,0,M1,cpsa,16,shuffle_B,1987,2.384185791015625e-07,3.31353806458138e-09,0
grid,MHEALTH,0,M1,late_product,32,reverse,1987,7.927417755126953e-06,3.3926604050057255e-09,0
grid,MHEALTH,0,M1,late_product,32,shuffle_A,1987,5.543231964111328e-06,2.725463159995049e-09,0
grid,MHEALTH,0,M1,late_product,32,shuffle_B,1987,4.6193599700927734e-06,2.3322846675568712e-09,0
grid,MHEALTH,0,M1,late_mean,32,reverse,1987,1.7881393432617188e-07,3.651639968359427e-09,0
grid,MHEALTH,0,M1,late_mean,32,shuffle_A,1987,1.7881393432617188e-07,3.583293628965031e-09,0
grid,MHEALTH,0,M1,late_mean,32,shuffle_B,1987,1.7881393432617188e-07,3.752774491121309e-09,0
grid,MHEALTH,0,M1,cpsa,32,reverse,1987,4.76837158203125e-07,2.533582022165042e-09,0
grid,MHEALTH,0,M1,cpsa,32,shuffle_A,1987,4.76837158203125e-07,3.223018749588462e-09,0
grid,MHEALTH,0,M1,cpsa,32,shuffle_B,1987,4.172325134277344e-07,4.5680947595067615e-09,0
grid,MHEALTH,0,M1,late_product,64,reverse,1987,1.150369644165039e-05,4.4658297997187516e-09,0
grid,MHEALTH,0,M1,late_product,64,shuffle_A,1987,7.748603820800781e-06,2.821643161725929e-09,0
grid,MHEALTH,0,M1,late_product,64,shuffle_B,1987,1.2189149856567383e-05,4.588709625622197e-09,0
grid,MHEALTH,0,M1,late_mean,64,reverse,1987,1.7881393432617188e-07,3.72866559680557e-09,0
grid,MHEALTH,0,M1,late_mean,64,shuffle_A,1987,1.1920928955078125e-07,2.2641363063385325e-09,0
grid,MHEALTH,0,M1,late_mean,64,shuffle_B,1987,1.7881393432617188e-07,3.728951483767267e-09,0
