seed,object,accuracy,ece,nll,brier,confidence,conf_acc_gap,entropy,macro_f1,balanced_accuracy,n
0,M1,0.86843769765970902,0.067915467014047382,0.37687668204307556,0.19271545112133026,0.93421357870101929,0.065775881041310269,0.1652095764875412,0.72959237342674566,0.75180450139002097,3162
0,M2,0.77324478178368117,0.03640994961166745,0.62399804592132568,0.32728850841522217,0.80783987045288086,0.034595088669199692,0.47554519772529602,0.66174504024794201,0.64636692759991798,3162
0,late_product,0.92820999367488932,0.038497478175133146,0.23815459012985229,0.11168047785758972,0.96353316307067871,0.035323169395789389,0.090190939605236053,0.7939602176814633,0.78710423834215115,3162
0,late_mean,0.90891840607210628,0.1074948363727139,0.33108603954315186,0.17130985856056213,0.80180984735488892,-0.10710855871721736,0.47674989700317383,0.77974783140445458,0.77838894414263526,3162
0,cpsa,0.89943074003795065,0.044580523313449041,0.2884293794631958,0.14721587300300598,0.8591645359992981,-0.040266204038652553,0.3924308717250824,0.77521077101130909,0.77288635736579403,3162
1,M1,0.87286527514231504,0.059503131208541934,0.37672778964042664,0.18934760987758636,0.92953091859817505,0.056665643455860004,0.17503094673156738,0.74405957353884966,0.75778068468509874,3162
1,M2,0.76533839342188492,0.047838465208723743,0.63173818588256836,0.33469682931900024,0.81299924850463867,0.04766085508275375,0.46878707408905029,0.65805993875930624,0.65316691910622116,3162
1,late_product,0.93263757115749524,0.029202874422374993,0.21842795610427856,0.10204453021287918,0.96053355932235718,0.02789598816486194,0.096973329782485962,0.8079385677105031,0.80189418438424498,3162
1,late_mean,0.91587602783048705,0.11953775973956395,0.3280099630355835,0.17050211131572723,0.7992708683013916,-0.11660515952909545,0.47946605086326599,0.78287361831218216,0.77723819449935949,3162
1,cpsa,0.90449082858950036,0.04648569268678128,0.2736784815788269,0.13902558386325836,0.86243468523025513,-0.042056143359245235,0.37843811511993408,0.79373262598846706,0.77990675500802065,3162
2,M1,0.86053130929791266,0.068362398342872138,0.42763084173202515,0.20961897075176239,0.92874437570571899,0.068213066407806333,0.17565132677555084,0.75838291254416479,0.76592746671002987,3162
2,M2,0.76976597090449084,0.041005151396986045,0.63446193933486938,0.33000323176383972,0.80671745538711548,0.036951484482624641,0.48906463384628296,0.62896960836020888,0.64199355555511228,3162
2,late_product,0.92125237191650855,0.039798953784258601,0.25470784306526184,0.12171893566846848,0.96037542819976807,0.039123056283259516,0.097906358540058136,0.78635299783805346,0.79698602231996085,3162
2,late_mean,0.90733712839974701,0.11210047583237695,0.34120610356330872,0.17765989899635315,0.7955595850944519,-0.1117775433052951,0.49313962459564209,0.78544048137442457,0.78994564686748248,3162
2,cpsa,0.89437065148640105,0.034734900458789512,0.30428078770637512,0.15865693986415863,0.86268025636672974,-0.031690395119671311,0.38781636953353882,0.76676570436569247,0.77375365626683246,3162
