seed,source,attn_mean,attn_median,attn_p10,attn_p90,attn_min,attn_max
0,M1,0.59200090169906616,0.55925929546356201,0.46829956769943237,0.80209630727767944,0.13707354664802551,0.92733585834503174
0,M2,0.40799909830093384,0.44074070453643799,0.1979035884141922,0.53170043230056763,0.072664067149162292,0.8629264235496521
1,M1,0.58859986066818237,0.53545212745666504,0.42501825094223022,0.88109171390533447,0.084306970238685608,0.95261460542678833
1,M2,0.41140010952949524,0.46454781293869019,0.11890827864408493,0.574981689453125,0.047385379672050476,0.91569304466247559
2,M1,0.59520125389099121,0.54740887880325317,0.43724611401557922,0.88968867063522339,0.07036658376455307,0.95732837915420532
2,M2,0.40479874610900879,0.45259112119674683,0.11031129211187363,0.56275379657745361,0.042671684175729752,0.92963337898254395
