seed,object,subject,n,accuracy,macro_f1,nll,brier,confidence
0,M1,2,324,0.86419753086419748,0.64215943027195299,0.3069496750831604,0.20035821199417114,0.95915901660919189
0,M1,4,336,0.88988095238095233,0.82108005500599457,0.24695049226284027,0.14772255718708038,0.91059702634811401
0,M1,9,311,0.76205787781350487,0.70618244044741985,0.74863171577453613,0.36246326565742493,0.90021568536758423
0,M1,10,306,0.68300653594771243,0.5232505184074796,1.0757811069488525,0.50142866373062134,0.92472869157791138
0,M1,12,340,0.91470588235294115,0.65680008977701121,0.20893639326095581,0.12144948542118073,0.93432223796844482
0,M1,13,348,0.93678160919540232,0.83920574466627695,0.17838352918624878,0.090341039001941681,0.95532751083374023
0,M1,18,403,0.87344913151364767,0.74801457997744469,0.34698089957237244,0.16630153357982635,0.9361843466758728
0,M1,20,384,0.875,0.69491249017561474,0.28237828612327576,0.16941027343273163,0.91717559099197388
0,M1,24,410,0.96585365853658534,0.75540875789401374,0.16063679754734039,0.058164890855550766,0.96273088455200195
0,M2,2,324,0.8179012345679012,0.54634604631309258,0.42542371153831482,0.23305380344390869,0.83404505252838135
0,M2,4,336,0.8035714285714286,0.61148164216233836,0.52291190624237061,0.26517385244369507,0.81197750568389893
0,M2,9,311,0.61736334405144699,0.44045159985793048,1.0329215526580811,0.56174367666244507,0.76783120632171631
0,M2,10,306,0.71241830065359479,0.64076768424630592,0.85247761011123657,0.43241751194000244,0.80860602855682373
0,M2,12,340,0.81470588235294117,0.77123578409792204,0.49662822484970093,0.26881605386734009,0.81385380029678345
0,M2,13,348,0.81609195402298851,0.72414775840115919,0.54280960559844971,0.2711232602596283,0.82718455791473389
0,M2,18,403,0.794044665012407,0.66096634374427909,0.49895390868186951,0.27217426896095276,0.8050466775894165
0,M2,20,384,0.703125,0.59261875609024484,0.81458759307861328,0.42326202988624573,0.77682638168334961
0,M2,24,410,0.85121951219512193,0.78532044234965104,0.5019955039024353,0.25680279731750488,0.82390213012695312
0,late_product,2,324,0.95061728395061729,0.69365895542366118,0.1342131495475769,0.075585350394248962,0.96417123079299927
0,late_product,4,336,0.95238095238095233,0.83866510012731288,0.11248835176229477,0.068048112094402313,0.9606708288192749
0,late_product,9,311,0.85209003215434087,0.62691378608530313,0.41233652830123901,0.22155848145484924,0.94492167234420776
0,late_product,10,306,0.83333333333333337,0.7194689841138584,0.58652710914611816,0.27550491690635681,0.94470304250717163
0,late_product,12,340,0.94705882352941173,0.72976692117959929,0.16856531798839569,0.081951826810836792,0.96393036842346191
0,late_product,13,348,0.97701149425287359,0.89847783500140788,0.11327783018350601,0.039937965571880341,0.98315876722335815
0,late_product,18,403,0.92307692307692313,0.78972579835152923,0.29892626404762268,0.12290191650390625,0.96669113636016846
0,late_product,20,384,0.92708333333333337,0.6852981157028073,0.19474942982196808,0.10527177900075912,0.95730233192443848
0,late_product,24,410,0.96829268292682924,0.87393061419450635,0.1757701188325882,0.050865348428487778,0.97929024696350098
0,late_mean,2,324,0.92901234567901236,0.6888541945859018,0.25191855430603027,0.13509063422679901,0.83283251523971558
0,late_mean,4,336,0.94047619047619047,0.81425052670102172,0.27018895745277405,0.13822107017040253,0.81155520677566528
0,late_mean,9,311,0.81028938906752412,0.57855190308070115,0.56446856260299683,0.31097760796546936,0.69955986738204956
0,late_mean,10,306,0.76797385620915037,0.66248703420882016,0.5428539514541626,0.30978900194168091,0.7285953164100647
0,late_mean,12,340,0.94117647058823528,0.75550852291775838,0.26069000363349915,0.13216088712215424,0.830005943775177
0,late_mean,13,348,0.96264367816091956,0.85869112074619192,0.22797669470310211,0.11037588864564896,0.84024351835250854
0,late_mean,18,403,0.91811414392059554,0.78591349811699374,0.31008568406105042,0.15504036843776703,0.82875072956085205
0,late_mean,20,384,0.90625,0.74307039439226141,0.36549457907676697,0.19028182327747345,0.76463860273361206
0,late_mean,24,410,0.96829268292682924,0.85924529950919171,0.24278274178504944,0.10016006976366043,0.85384058952331543
0,cpsa,2,324,0.94135802469135799,0.69671377704538118,0.20020544528961182,0.10048334300518036,0.87976562976837158
