dataset,seed,source,operator,k,reproduced_mean_l1,frozen_mean_l1,abs_discrepancy
HAPT,2,M1,cpsa,16,0.20222531427480334,0.20222529768943787,1.658536546988998e-08
HAPT,2,M1,late_product,100,0.2008572950410843,0.20085729658603668,1.5449523882438143e-09
HAPT,2,M1,late_mean,100,0.32548481301985316,0.3254848122596741,7.601790863454028e-10
HAPT,2,M1,cpsa,100,0.23020674801818752,0.23020675778388977,9.765702246866681e-09
HAPT,2,M2,late_product,2,0.07710451664808379,0.07710450887680054,7.771283255797456e-09
HAPT,2,M2,late_mean,2,0.1106867576012334,0.110686756670475,9.307583870299396e-10
HAPT,2,M2,cpsa,2,0.08602408690843755,0.08602409064769745,3.739259901713865e-09
HAPT,2,M2,late_product,5,0.21312380087649604,0.21312379837036133,2.506134716417918e-09
HAPT,2,M2,late_mean,5,0.22137351574805952,0.22137351334095,2.4071095117150776e-09
HAPT,2,M2,cpsa,5,0.20062543039067354,0.20062541961669922,1.0773974323807778e-08
HAPT,2,M2,late_product,16,0.346382588207894,0.34638258814811707,5.977696115877507e-11
HAPT,2,M2,late_mean,16,0.2929943598921469,0.29299435019493103,9.697215863635478e-09
HAPT,2,M2,cpsa,16,0.3179653469379243,0.3179653584957123,1.1557788004434855e-08
HAPT,2,M2,late_product,100,0.4310833176984021,0.4310833215713501,3.872948017846767e-09
HAPT,2,M2,late_mean,100,0.32548481727629913,0.3254848122596741,5.016625059806046e-09
HAPT,2,M2,cpsa,100,0.40449888408851725,0.4044989049434662,2.0854948934445616e-08
