dataset,seed,source,operator,k,eta,n_test,n_boundary_degenerate,frac_boundary_degenerate,mean_l1_exact_vs_clean,max_l1_exact_vs_clean,mean_l1_near_vs_clean,max_l1_near_vs_clean,mean_l1_near_vs_exact,max_l1_near_vs_exact,flip_rate_near_vs_clean,flip_count_near_vs_clean,flip_rate_near_vs_exact,flip_count_near_vs_exact,mean_single_copy_l1,mean_maxdir_single_copy_l1,max_maxdir_single_copy_l1,mean_token_l1_to_p,max_token_l1_to_p,frac_token_l1_ge_90pct_eta,movement_ratio,trajectory_error_ratio
MHEALTH,0,M1,late_product,2,0.01,1987,0,0.0,0.0822332537418612,1.9300316666467274,0.08248340760524261,1.93003101472083,0.004512253291230388,0.7845505504775336,0.03975842979365878,79,0.001509813789632612,3,0.006964023046983874,0.009630569355821503,1.0400469455775376,0.00654564514235058,0.01,0.571716155007549,1.0030420037150258,0.054871394307159774
MHEALTH,0,M1,late_mean,2,0.01,1987,0,0.0,0.11649451591359482,0.3332257842726509,0.11649451593492102,0.3332257842726509,5.132351379989678e-11,2.9802322387695312e-08,0.07800704579768496,155,0.0,0,0.0021818804843232336,0.002181886859101102,0.0033333972096443176,0.00654564514235058,0.01,0.571716155007549,1.0000000001830662,4.40565921901113e-10
MHEALTH,0,M1,cpsa,2,0.01,1987,0,0.0,0.16467449102518752,0.6436220421111758,0.16465107530057735,0.6436265739386688,3.6461482644265607e-05,0.0006180889202234141,0.09159536990437846,182,0.0,0,0.0025381320996651323,0.002549835444990272,0.009102927727730803,0.00654564514235058,0.01,0.571716155007549,0.9998578059997976,0.00022141548710594586
MHEALTH,0,M1,late_product,2,0.05,1987,0,0.0,0.0822332537418612,1.9300316666467274,0.08249022796847089,1.93003101472083,0.010059359377737307,0.7848741933317275,0.038751887267237044,77,0.004529441368897836,9,0.0114582954948002,0.015850789624328263,1.0400469455775376,0.023103437005441096,0.05,0.36436839456467035,1.0031249429508937,0.12232714771708644
MHEALTH,0,M1,late_mean,2,0.05,1987,0,0.0,0.11649451591359482,0.3332257842726509,0.11649451588922201,0.3332257842726509,3.5621799532348446e-11,7.450580596923828e-09,0.07800704579768496,155,0.0,0,0.007701143370973097,0.007701154457905724,0.016666725277900696,0.023103437005441096,0.05,0.36436839456467035,0.9999999997907815,3.0578091383090945e-10
MHEALTH,0,M1,cpsa,2,0.05,1987,0,0.0,0.16467449102518752,0.6436220421111758,0.16432504072051848,0.6437364581111951,0.0005648658266907503,0.005340912456636815,0.09159536990437846,182,0.0,0,0.00883520051908122,0.009013258682991533,0.04492735736573053,0.023103437005441096,0.05,0.36436839456467035,0.9978779329907533,0.003430196281003547
MHEALTH,0,M1,late_product,3,0.01,1987,0,0.0,0.11283892515951467,1.9950238266593305,0.11152417881732338,1.9950238264707592,0.0029033146376700406,0.7838569692459959,0.05385002516356316,107,0.0005032712632108706,1,0.006964023046983874,0.009630569355821503,1.0400469455775376,0.00654564514235058,0.01,0.571716155007549,0.9883484680456438,0.025729726099090112
MHEALTH,0,M1,late_mean,3,0.01,1987,0,0.0,0.18639122456402785,0.5331612682296427,0.1863912246716522,0.5331612682296427,8.136721457095822e-10,5.960464477539063e-08,0.09159536990437846,182,0.0,0,0.0021818804843232336,0.002181886859101102,0.0033333972096443176,0.00654564514235058,0.01,0.571716155007549,1.000000000577411,4.365399431291762e-09
MHEALTH,0,M1,cpsa,3,0.01,1987,0,0.0,0.24935769647487735,0.8991448872057679,0.24933741626918302,0.8991485249592548,2.8878869786276085e-05,0.0003876605937289668,0.10266733769501761,204,0.0,0,0.0025381320996651323,0.002549835444990272,0.009102927727730803,0.00654564514235058,0.01,0.571716155007549,0.9999186702236144,0.000115813027608657
MHEALTH,0,M1,late_product,3,0.05,1987,0,0.0,0.11283892515951467,1.9950238266593305,0.11306827212867325,1.9950238264707592,0.005365684748418619,0.7838569692459959,0.05435329642677403,108,0.0010065425264217413,2,0.0114582954948002,0.015850789624328263,1.0400469455775376,0.023103437005441096,0.05,0.36436839456467035,1.0020325164284787,0.047551717998318595
MHEALTH,0,M1,late_mean,3,0.05,1987,0,0.0,0.18639122456402785,0.5331612682296427,0.18639122445100798,0.5331612682296427,7.102048793047674e-10,5.960464477539063e-08,0.09159536990437846,182,0.0,0,0.007701143370973097,0.007701154457905724,0.016666725277900696,0.023103437005441096,0.05,0.36436839456467035,0.9999999993936417,3.810291396314115e-09
MHEALTH,0,M1,cpsa,3,0.05,1987,0,0.0,0.24935769647487735,0.8991448872057679,0.24903601582082874,0.8992359464289492,0.00046238712011295054,0.0036659888783727723,0.10266733769501761,204,0.0,0,0.00883520051908122,0.009013258682991533,0.04492735736573053,0.023103437005441096,0.05,0.36436839456467035,0.9987099630025615,0.0018543126065472609
MHEALTH,0,M1,late_product,5,0.01,1987,0,0.0,0.14967795240897064,1.9998593688472663,0.15112123068691272,1.9999740003217001,0.0026563268649092133,1.0266174356022093,0.07297433316557625,145,0.0020130850528434826,4,0.006964023046983874,0.009630569355821503,1.0400469455775376,0.00654564514235058,0.01,0.571716155007549,1.0096425576025958,0.017746948178788767
MHEALTH,0,M1,late_mean,5,0.01,1987,0,0.0,0.2662731789154729,0.7616589477285101,0.26627317993956223,0.7616589477285101,1.0057524375482575e-08,1.1920940323761897e-07,0.0996477101157524,198,0.0,0,0.0021818804843232336,0.002181886859101102,0.0033333972096443176,0.00654564514235058,0.01,0.571716155007549,1.00000000384601,3.7771451170736527e-08
MHEALTH,0,M1,cpsa,5,0.01,1987,0,0.0,0.32667981578024385,1.231308101395701,0.3266551774781702,1.2312760606988498,3.234734510570965e-05,0.00032339327639263615,0.11222949169602416,223,0.0,0,0.0025381320996651323,0.002549835444990272,0.009102927727730803,0.00654564514235058,0.01,0.571716155007549,0.9999245796621539,9.90184992863764e-05
MHEALTH,0,M1,late_product,5,0.05,1987,0,0.0,0.14967795240897064,1.9998593688472663,0.15184351921794384,1.9999740003217001,0.003434786877576086,1.0266174356022093,0.07347760442878712,146,0.0025163563160543532,5,0.0114582954948002,0.015850789624328263,1.0400469455775376,0.023103437005441096,0.05,0.36436839456467035,1.0144681749991886,0.02294784784462504
MHEALTH,0,M1,late_mean,5,0.05,1987,0,0.0,0.2662731789154729,0.7616589477285101,0.26627317969138137,0.7616589477285101,8.634292871798679e-09,1.1920940323761897e-07,0.0996477101157524,198,0.0,0,0.007701143370973097,0.007701154457905724,0.016666725277900696,0.023103437005441096,0.05,0.36436839456467035,1.0000000029139564,3.2426446054259156e-08
MHEALTH,0,M1,cpsa,5,0.05,1987,0,0.0,0.32667981578024385,1.231308101395701,0.32627319615697253,1.2310449918998287,0.0005337341446148054,0.0038896993754633513,0.11222949169602416,223,0.0,0,0.00883520051908122,0.009013258682991533,0.04492735736573053,0.023103437005441096,0.05,0.36436839456467035,0.998755296153513,0.001633814269608399
MHEALTH,0,M1,late_product,8,0.01,1987,0,0.0,0.18359650674899985,2.000000129163299,0.18374432600999216,2.0000001293368497,0.00019964831503748955,0.17592661175877017,0.08857574232511324,176,0.0,0,0.006964023046983874,0.009630569355821503,1.0400469455775376,0.00654564514235058,0.01,0.571716155007549,1.0008051311193757,0.0010874298131959264
MHEALTH,0,M1,late_mean,8,0.01,1987,0,0.0,0.32618464039767975,0.9330322176645107,0.32618464289174814,0.9330322176645107,3.6311459763972424e-08,1.4901161193847656e-07,0.10619023653749371,211,0.0,0,0.0021818804843232336,0.002181886859101102,0.0033333972096443176,0.00654564514235058,0.01,0.571716155007549,1.000000007646186,1.1132179528656531e-07
MHEALTH,0,M1,cpsa,8,0.01,1987,0,0.0,0.37022820251084976,1.5187121943151842,0.3701967516917344,1.5186510540815417,3.916344549619313e-05,0.00028593981245528255,0.1217916456970307,242,0.0,0,0.0025381320996651323,0.002549835444990272,0.009102927727730803,0.00654564514235058,0.01,0.571716155007549,0.9999150501801265,0.0001057819075656329
MHEALTH,0,M1,late_product,8,0.05,1987,0,0.0,0.18359650674899985,2.000000129163299,0.18421843333504406,2.0000001293368497,0.001872061046135565,0.9804842177249257,0.08907901358832411,177,0.001509813789632612,3,0.0114582954948002,0.015850789624328263,1.0400469455775376,0.023103437005441096,0.05,0.36436839456467035,1.0033874641574443,0.010196604931568301
