operator,eta,n_conditions,n_valid_ratio,median_movement_ratio,p5_movement_ratio,p95_movement_ratio,min_movement_ratio,max_movement_ratio,median_trajectory_error_ratio,p95_trajectory_error_ratio,max_trajectory_error_ratio,flip_count_near_vs_clean,flip_count_near_vs_exact,mean_mean_l1_near_vs_clean,mean_mean_l1_exact_vs_clean,mean_mean_l1_near_vs_exact,mean_single_copy_l1,max_maxdir_single_copy_l1
late_product,0.01,120,120,1.0000174396447346,0.9999980976578504,1.0197433018582096,0.9883484680456438,1.2472846744226105,3.184884090635909e-05,0.025906680849705946,0.24998459472325668,39420,170,0.2883163229019376,0.2876551990448039,0.000903363695412558,0.005788650882869639,1.0406261140455517
late_product,0.05,120,120,1.0005099441889327,0.9999992148640572,1.0507374101656135,0.9980943942662623,1.2437593469498027,0.0007842785006039649,0.06509829352275304,0.27158149996888686,39551,348,0.28928979321022347,0.2876551990448039,0.0022400892819900648,0.012125078671373477,1.0437540210002427
late_mean,0.01,120,120,1.0000000002765999,0.9999999743987591,1.0000000307648806,0.9999998945233141,1.0000000853525368,1.923828303639417e-07,1.4946953393245097e-06,2.1154861516956336e-06,49896,0,0.3212119966634582,0.3212119960349194,1.7561923161639072e-07,0.0026452767123553897,0.005000084638595581
late_mean,0.05,120,120,1.0000000000798637,0.9999999773473307,1.000000029253271,0.9999998953315451,1.0000000827404445,1.8229797781276764e-07,1.4720122337358337e-06,2.1022094083433827e-06,49896,0,0.3212119965471746,0.3212119960349194,1.7615367817905104e-07,0.010481178371345507,0.025000065565109253
cpsa,0.01,120,120,0.9999463859112145,0.9998837796509189,1.0001027619101224,0.9998237199441791,1.0003673045511179,0.00012282447557081347,0.0004298460803909324,0.0009046140647120376,46640,4,0.34989167919540065,0.34990945034750426,4.3319674475631226e-05,0.003032802935058647,0.024538538837944213
cpsa,0.05,120,120,0.9991139812477865,0.9979656060358144,1.0015223434131595,0.9969659163166209,1.0056805246404081,0.002137718250584898,0.008233513629857553,0.01885571766112312,46654,71,0.3496188424560114,0.34990945034750426,0.0007685803014390868,0.011617913869578231,0.1253887184526855
