seed,source,accuracy,ece,nll,brier,confidence,conf_acc_gap,entropy,argmax_correct_frac,n
0,M1,0.75088072471061906,0.19841697840577821,1.4912453889846802,0.4583793580532074,0.89036780595779419,0.13948708124717513,0.2415410578250885,0.75088072471061906,1987
0,M2,0.72974333165576244,0.21647799285020908,2.5838217735290527,0.49680382013320923,0.91732001304626465,0.18757668139050221,0.20225429534912109,0.72974333165576244,1987
0,M3,0.77403120281831905,0.1490906635510244,1.2149734497070312,0.3498992919921875,0.9231218695640564,0.14909066674573734,0.20062065124511719,0.77403120281831905,1987
1,M1,0.73678912934071461,0.17569666698942485,1.3937234878540039,0.45507583022117615,0.88959366083145142,0.15280453149073681,0.24995192885398865,0.73678912934071461,1987
1,M2,0.68797181680926023,0.23810323297407493,2.4483356475830078,0.53709673881530762,0.92516410350799561,0.23719228669873538,0.19126065075397491,0.68797181680926023,1987
1,M3,0.75842979365878205,0.15913563050333435,1.1935273408889771,0.39642539620399475,0.91666841506958008,0.15823862141079803,0.21718823909759521,0.75842979365878205,1987
2,M1,0.7569199798691495,0.17853984598184749,1.3639105558395386,0.43719497323036194,0.8936467170715332,0.13672673720238371,0.24935509264469147,0.7569199798691495,1987
2,M2,0.68444891796678409,0.24400687223711862,2.410722017288208,0.54463106393814087,0.9284558892250061,0.24400697125822202,0.19300520420074463,0.68444891796678409,1987
2,M3,0.76748867639657781,0.15227605392720514,1.1342126131057739,0.37474000453948975,0.91976469755172729,0.15227602115514949,0.20324976742267609,0.76748867639657781,1987
mean,M1,0.7481966113068278,0.18421783045901685,1.4162931442260742,0.45021672050158185,0.8912027279535929,0.14300611664676521,0.24694935977458954,0.7481966113068278,1987
mean,M2,0.70072135547726899,0.23286269935380088,2.4809598128000894,0.52617720762888587,0.92364666859308875,0.22292531311581987,0.19550671676794687,0.70072135547726899,1987
mean,M3,0.76664989095789304,0.15350078266052128,1.180904467900594,0.37368823091189068,0.91985166072845459,0.15320176977056163,0.20701955258846283,0.76664989095789304,1987
