seed,source,k,attn_mean,attn_median,attn_p10,attn_p90,attn_min,attn_max,mean_l1_to_pj
0,M1,1,0.34770071506500244,0.33346384763717651,0.25175741314888,0.44519975781440735,0.051892813295125961,0.70896291732788086,0.43109509348869324
0,M1,2,0.54451751708984375,0.51527947187423706,0.47688394784927368,0.69267970323562622,0.16731911897659302,0.8876345157623291,0.26670566201210022
0,M1,3,0.65690857172012329,0.63213825225830078,0.59413599967956543,0.81530696153640747,0.30540868639945984,0.94074499607086182,0.18210780620574951
0,M1,5,0.77387762069702148,0.7561611533164978,0.71180605888366699,0.91066610813140869,0.53289908170700073,0.9736102819442749,0.10480763018131256
0,M1,8,0.85172188282012939,0.83921420574188232,0.79902040958404541,0.95394384860992432,0.71247422695159912,0.98690676689147949,0.061209447681903839
0,M1,16,0.92313504219055176,0.91654926538467407,0.88859182596206665,0.98205959796905518,0.86269521713256836,0.99480706453323364,0.027843354269862175
0,M1,32,0.960915207862854,0.95823371410369873,0.94117558002471924,0.99219286441802979,0.93351823091506958,0.99773275852203369,0.013075769878923893
0,M1,64,0.98030585050582886,0.97911602258682251,0.96969711780548096,0.99635839462280273,0.96757113933563232,0.99894517660140991,0.0063074068166315556
0,M1,100,0.98736333847045898,0.98666828870773315,0.98039227724075317,0.99774086475372314,0.9794619083404541,0.99934333562850952,0.0039816908538341522
0,M2,1,0.3232262134552002,0.33529376983642578,0.16665978729724884,0.43488365411758423,0.10224585235118866,0.60841995477676392,0.54443693161010742
0,M2,2,0.5313754677772522,0.5143582820892334,0.36919808387756348,0.6722114086151123,0.26618972420692444,0.84433937072753906,0.33945614099502563
0,M2,3,0.65375685691833496,0.62317931652069092,0.5537225604057312,0.80412763357162476,0.42929801344871521,0.91823619604110718,0.22448326647281647
0,M2,5,0.77826893329620361,0.75329512357711792,0.71415942907333374,0.90580469369888306,0.63432782888412476,0.96625113487243652,0.12065710127353668
0,M2,8,0.85731619596481323,0.83894085884094238,0.80001974105834961,0.95327866077423096,0.76871603727340698,0.98581600189208984,0.06644400954246521
0,M2,16,0.92707526683807373,0.91950565576553345,0.88930833339691162,0.98193788528442383,0.88338696956634521,0.99521011114120483,0.028501234948635101
0,M2,32,0.96313929557800293,0.95914596319198608,0.94147211313247681,0.99225038290023804,0.94042986631393433,0.99801301956176758,0.012960024178028107
0,M2,64,0.98147135972976685,0.97941535711288452,0.9698563814163208,0.9964410662651062,0.96968758106231689,0.99910598993301392,0.0061459080316126347
0,M2,100,0.98811942338943481,0.98679083585739136,0.98050284385681152,0.99779039621353149,0.98038768768310547,0.99945014715194702,0.0038557033985853195
0,M3,1,0.32907307147979736,0.33363416790962219,0.19516605138778687,0.44093921780586243,0.053790401667356491,0.64728772640228271,0.56728094816207886
0,M3,2,0.53326797485351562,0.50294035673141479,0.42383196949958801,0.65344589948654175,0.18306191265583038,0.86802560091018677,0.36648979783058167
