seed,source,k,operator,n_tokens,accuracy,ece,nll,brier,confidence,conf_acc_gap,entropy,d_accuracy,d_ece,d_nll,d_brier,d_confidence,mean_l1_to_k1,prediction_flip_rate,mean_l1_to_pj,source_top_class_agreement,unique_source_argmax_frac,n
0,M1,1,late_product,3,0.87619526925012581,0.10218185096394197,1.1162067651748657,0.22265377640724182,0.97837710380554199,0.10218183455541618,0.054025769233703613,0,0,0,0,0,0,0,0.39470845460891724,0.85052843482637142,1,1987
0,M1,2,late_product,4,0.85052843482637142,0.1349663402215884,1.9939175844192505,0.27814179658889771,0.98480665683746338,0.13427822201109196,0.037090238183736801,-0.025666834423754392,0.032784489257646432,0.87771081924438477,0.055488020181655884,0.0064295530319213867,0.082233257591724396,0.040261701056869652,0.33550542593002319,0.8837443381982889,1,1987
0,M1,3,late_product,5,0.84297936587820832,0.14895520185668321,2.5289847850799561,0.30090290307998657,0.99039864540100098,0.14741927952279266,0.024105532094836235,-0.033215903371917488,0.046773350892741233,1.4127780199050903,0.078249126672744751,0.012021541595458984,0.11283892393112183,0.054353296426774028,0.31760105490684509,0.89531957725213895,1,1987
0,M1,5,late_product,7,0.83090085556114746,0.16450889310347233,3.5018670558929443,0.33220472931861877,0.99368840456008911,0.16278754899894166,0.016654327511787415,-0.045294413688978352,0.062327042139530359,2.3856602907180786,0.10955095291137695,0.015311300754547119,0.14967794716358185,0.071967790639154511,0.28567856550216675,0.91494715651736291,1,1987
0,M1,8,late_product,10,0.80926019124308002,0.18735542732924151,4.3156514167785645,0.37460321187973022,0.99455225467681885,0.18529206343373883,0.013625906780362129,-0.06693507800704579,0.085173576365299541,3.1994446516036987,0.1519494354724884,0.016175150871276855,0.18359652161598206,0.088575742325113241,0.24982395768165588,0.93709109209864117,1,1987
0,M1,16,late_product,18,0.79416205334675394,0.20302917117981323,5.1599211692810059,0.40790316462516785,0.9965813159942627,0.20241926264750876,0.0087476503103971481,-0.08203321590337187,0.10084732021587126,4.0437144041061401,0.18524938821792603,0.018204212188720703,0.21639180183410645,0.10518369401107197,0.23121455311775208,0.95470558631102165,1,1987
0,M1,32,late_product,34,0.78359335681932563,0.21600240708957319,5.6879386901855469,0.43187475204467773,0.99748867750167847,0.21389532068235284,0.0063321157358586788,-0.092601912430800182,0.11382055612563122,4.5717319250106812,0.20922097563743591,0.019111573696136475,0.24000482261180878,0.11575239053850025,0.22116237878799438,0.9662808253648717,1,1987
0,M1,64,late_product,66,0.7725213890286865,0.22744811865091924,6.0297303199768066,0.45379173755645752,0.9979168176651001,0.2253954286364136,0.0053323321044445038,-0.10367388022143931,0.12526626768697727,4.9135235548019409,0.2311379611492157,0.019539713859558105,0.26225346326828003,0.12732762959235028,0.21707369387149811,0.97785606441872164,1,1987
0,M1,100,late_product,102,0.76648213387015607,0.23296737961872291,6.1737403869628906,0.46546289324760437,0.9981040358543396,0.23162190198418353,0.0046266107819974422,-0.10971313537996974,0.13078552865478094,5.0575336217880249,0.24280911684036255,0.019726932048797607,0.27430164813995361,0.13387015601409161,0.21638160943984985,0.98439859084046299,1,1987
0,M2,1,late_product,3,0.87619526925012581,0.10218185096394197,1.1162067651748657,0.22265377640724182,0.97837710380554199,0.10218183455541618,0.054025769233703613,0,0,0,0,0,0,0,0.57106673717498779,0.73527931555108206,1,1987
0,M2,2,late_product,4,0.83392048314041267,0.14305213173250492,1.9363884925842285,0.30502220988273621,0.97694116830825806,0.14302068516784538,0.044869277626276016,-0.042274786109713136,0.040870280768562944,0.82018172740936279,0.082368433475494385,-0.0014359354972839355,0.16967782378196716,0.084549572219426272,0.41704735159873962,0.81680926019124311,1,1987
0,M2,3,late_product,5,0.79416205334675394,0.20300516841635971,3.4628844261169434,0.40594267845153809,0.99560302495956421,0.20144097161281027,0.014078195206820965,-0.08203321590337187,0.10082331745241774,2.3466776609420776,0.18328890204429626,0.017225921154022217,0.27019363641738892,0.13437342727730248,0.33999267220497131,0.86713638651233016,1,1987
0,M2,5,late_product,7,0.74635128334172118,0.25223551302863301,5.3515658378601074,0.50441563129425049,0.99858677387237549,0.2522354905306543,0.0038387326058000326,-0.12984398590840462,0.15005366206469103,4.2353590726852417,0.28176185488700867,0.020209670066833496,0.37383833527565002,0.18570709612481126,0.251167893409729,0.91897332662304987,1,1987
0,M2,8,late_product,10,0.74685455460493211,0.24570727753291249,6.718235969543457,0.49685460329055786,0.99256181716918945,0.24570726256425734,0.015280461870133877,-0.1293407146451937,0.14352542656897052,5.6020292043685913,0.27420082688331604,0.014184713363647461,0.40082347393035889,0.19778560644187218,0.22642606496810913,0.93155510820332155,1,1987
0,M2,16,late_product,18,0.74383492702566678,0.24972151792043409,6.9867444038391113,0.50352340936660767,0.9935564398765564,0.24972151285088962,0.014289727434515953,-0.13236034222445903,0.14753966695649212,5.8705376386642456,0.28086963295936584,0.015179336071014404,0.45534819364547729,0.22445898339204831,0.18155744671821594,0.95822848515349779,1,1987
