seed,source,k,max_abs_residual,mean_abs_residual,max_obs_l1,max_pred_l1
0,M1,1,0,0,1.3329031467437744,1.3329031467437744
0,M1,2,2.9802322387695312e-07,3.7578331557597267e-08,0.99967730045318604,0.99967736005783081
0,M1,3,2.384185791015625e-07,3.6259990565667977e-08,0.79974186420440674,0.79974192380905151
0,M1,5,2.384185791015625e-07,3.034899620502074e-08,0.57124418020248413,0.57124423980712891
0,M1,8,1.6391277313232422e-07,4.1090288505074568e-08,0.39987093210220337,0.39987096190452576
0,M1,16,2.6077032089233398e-07,8.4862961102771806e-08,0.22215060889720917,0.2221505343914032
0,M1,32,4.785916871696827e-07,1.9044207988372364e-07,0.11760887503623962,0.11760910600423813
0,M1,64,9.4735878519713879e-07,3.9616219282834209e-07,0.060586050152778625,0.060586508363485336
0,M1,100,1.4809193089604378e-06,6.2585655768998549e-07,0.039202742278575897,0.039203032851219177
0,M2,1,0,0,1.3332754373550415,1.3332754373550415
0,M2,2,3.5762786865234375e-07,3.8363360488347098e-08,0.99995666742324829,0.99995660781860352
0,M2,3,2.384185791015625e-07,3.9082646452470726e-08,0.79996538162231445,0.79996532201766968
0,M2,5,1.7881393432617188e-07,3.2062306587476996e-08,0.57140380144119263,0.57140374183654785
0,M2,8,1.7881393432617188e-07,4.4582129987702501e-08,0.39998269081115723,0.39998266100883484
0,M2,16,2.5331974029541016e-07,9.6750447653448646e-08,0.22221262753009796,0.22221258282661438
0,M2,32,4.7846697270870209e-07,2.0611373940937483e-07,0.11764185130596161,0.11764195561408997
0,M2,64,9.4622373580932617e-07,4.2735086935863364e-07,0.060604173690080643,0.060603432357311249
0,M2,100,1.4848774299025536e-06,7.1570508453078219e-07,0.039214540272951126,0.039213985204696655
0,M3,1,0,0,1.3329819440841675,1.3329819440841675
0,M3,2,2.384185791015625e-07,4.0593764794039089e-08,0.999736487865448,0.99973642826080322
0,M3,3,2.384185791015625e-07,3.9349991709514143e-08,0.79978924989700317,0.7997891902923584
0,M3,5,2.384185791015625e-07,3.1344409734401779e-08,0.57127803564071655,0.57127797603607178
0,M3,8,1.7881393432617188e-07,4.2551608459007184e-08,0.3998945951461792,0.3998945951461792
0,M3,16,2.5331974029541016e-07,9.053734117969725e-08,0.2221638411283493,0.22216366231441498
0,M3,32,4.7346111387014389e-07,1.9438670051385998e-07,0.11761648952960968,0.11761605739593506
0,M3,64,9.4552524387836456e-07,4.2211627260257956e-07,0.060590591281652451,0.060590088367462158
0,M3,100,1.4848774299025536e-06,6.7253347424411913e-07,0.039205994457006454,0.039205349981784821
1,M1,1,0,0,1.3318297863006592,1.3318297863006592
1,M1,2,2.384185791015625e-07,3.8094018606216196e-08,0.99887228012084961,0.99887233972549438
1,M1,3,2.9802322387695312e-07,3.5524184482937926e-08,0.79909789562225342,0.79909789562225342
1,M1,5,2.384185791015625e-07,3.2114702008811946e-08,0.57078415155410767,0.57078421115875244
1,M1,8,1.7881393432617188e-07,3.8757651310561414e-08,0.3995489776134491,0.39954894781112671
1,M1,16,2.4586915969848633e-07,8.4374455866509379e-08,0.22197166085243225,0.22197163105010986
1,M1,32,4.76837158203125e-07,1.9284770758076775e-07,0.11751469969749451,0.11751439422369003
1,M1,64,9.4622373580932617e-07,3.8420174064413004e-07,0.060538120567798615,0.060537718236446381
1,M1,100,1.4789402484893799e-06,6.1915204696560977e-07,0.039171978831291199,0.039171464741230011
1,M2,1,0,0,1.3333295583724976,1.3333295583724976
1,M2,2,3.5762786865234375e-07,4.0828044944873909e-08,0.99999701976776123,0.99999713897705078
1,M2,3,2.384185791015625e-07,4.0666009226697497e-08,0.79999756813049316,0.79999774694442749
1,M2,5,2.384185791015625e-07,3.4204223453571103e-08,0.5714268684387207,0.57142698764801025
1,M2,8,1.7881393432617188e-07,4.263861086428733e-08,0.39999881386756897,0.39999887347221375
1,M2,16,2.5331974029541016e-07,9.3634170639234071e-08,0.22222147881984711,0.22222159802913666
1,M2,32,4.76837158203125e-07,1.9927476557768387e-07,0.11764699965715408,0.11764673143625259
1,M2,64,9.3318521976470947e-07,4.1025961650120735e-07,0.0606064572930336,0.060605891048908234
1,M2,100,1.4860415831208229e-06,6.9431638394235051e-07,0.039216954261064529,0.039215575903654099
1,M3,1,0,0,1.3328404426574707,1.3328404426574707
1,M3,2,2.384185791015625e-07,4.2414910694787977e-08,0.99963033199310303,0.99963033199310303
1,M3,3,2.384185791015625e-07,3.9566490528386566e-08,0.79970425367355347,0.79970431327819824
1,M3,5,1.7881393432617188e-07,3.3735247484401043e-08,0.57121735811233521,0.57121735811233521
1,M3,8,1.7881393432617188e-07,3.9637015447624435e-08,0.39985218644142151,0.39985215663909912
1,M3,16,2.4586915969848633e-07,8.8654687147027289e-08,0.22214005887508392,0.22214007377624512
1,M3,32,4.8056244850158691e-07,1.9718819999070547e-07,0.11760368198156357,0.11760357022285461
1,M3,64,9.381328709423542e-07,4.1142226336887688e-07,0.060584142804145813,0.060583658516407013
1,M3,100,1.5012919902801514e-06,6.6817563038057415e-07,0.039202101528644562,0.039201188832521439
2,M1,1,0,0,1.3328386545181274,1.3328386545181274
2,M1,2,2.384185791015625e-07,3.858842489989911e-08,0.99962890148162842,0.99962902069091797
2,M1,3,2.384185791015625e-07,3.5844891499436926e-08,0.79970306158065796,0.79970324039459229
2,M1,5,2.384185791015625e-07,3.1479405748768841e-08,0.57121652364730835,0.57121658325195312
2,M1,8,1.7881393432617188e-07,3.8931311507894861e-08,0.39985159039497375,0.39985162019729614
2,M1,16,2.3865140974521637e-07,8.5042948683167197e-08,0.22213977575302124,0.22213977575302124
2,M1,32,4.7506182454526424e-07,1.8966970571909769e-07,0.11760366708040237,0.11760341376066208
2,M1,64,9.3248672783374786e-07,3.9599510159860074e-07,0.060583576560020447,0.060583576560020447
2,M1,100,1.475214958190918e-06,6.2470127204505843e-07,0.03920171782374382,0.03920113667845726
2,M2,1,0,0,1.3333028554916382,1.3333028554916382
2,M2,2,2.384185791015625e-07,4.1718237753229914e-08,0.99997711181640625,0.99997711181640625
2,M2,3,2.9802322387695312e-07,3.9608618607189783e-08,0.79998177289962769,0.79998177289962769
2,M2,5,2.384185791015625e-07,3.358695721544791e-08,0.5714154839515686,0.57141554355621338
2,M2,8,1.4901161193847656e-07,4.0550062863076164e-08,0.39999088644981384,0.39999088644981384
2,M2,16,2.5331974029541016e-07,8.8199321623960714e-08,0.2222171425819397,0.2222171425819397
2,M2,32,4.9173831939697266e-07,1.9709784737642622e-07,0.11764410883188248,0.11764436960220337
2,M2,64,9.4994902610778809e-07,3.9923108374750882e-07,0.06060519814491272,0.060604676604270935
2,M2,100,1.4813849702477455e-06,6.8765166361117736e-07,0.03921518474817276,0.039214789867401123
2,M3,1,0,0,1.3330981731414795,1.3330981731414795
2,M3,2,2.384185791015625e-07,4.1329464295358775e-08,0.99982362985610962,0.99982362985610962
2,M3,3,2.384185791015625e-07,3.7781752837418026e-08,0.79985892772674561,0.79985892772674561
2,M3,5,2.384185791015625e-07,3.2629433377451278e-08,0.571327805519104,0.571327805519104
